id,name,description,date_published,url
15,"Massive Attack On Al Assad Air Base In Iraq, Airstrikes Hit Houthi Missiles (Updated)","It's been a very active day in terms of hostilities in the Middle East. Al Assad Air Base in Iraq, where U.S. military personnel and contractors are based, came under a massive barrage from Iranian-aligned militant groups in the country. The attack was so ...",2024-01-20T13:48:00.0000000Z,https://currently.att.yahoo.com/news/massive-attack-al-assad-air-214819320.html
16,LMG Security and Surefire Cyber Announce Partnership to Bolster Proactive Cybersecurity and Incident Response Services,"""We are excited to partner with Surefire Cyber,"" said Sherri Davidoff, CEO of LMG Security. ""Their innovative incident response model is the perfect complement to LMG's proactive cybersecurity services,",2024-02-07T14:06:00.0000000Z,https://www.tmcnet.com/usubmit/2024/02/07/9958918.htm
17,Google introduces AI-powered Gemini app and casts aside Bard,"Google introduced a free artificial intelligence (AI) app on Thursday that will implant the technology on smartphones. The launch of the Gemini app will cast aside the Bard chatbot that it introduced a year ago to catch up with ChatGPT,",2024-02-08T14:42:40.0000000Z,https://www.msn.com/en-xl/news/other/google-introduces-ai-powered-gemini-app-and-casts-aside-bard/ar-BB1hYKnr
18,Admission Open for UG and PG Programs at MAHE Bengaluru: Explore a World of Academic Excellence,"Manipal Academy of Higher Education (MAHE), Bengaluru, the esteemed off-campus of MAHE, Manipal, welcomes aspiring students to embark on a transformative academic journey. Proudly announcing the commencement of admissions for the academic year 2024-2025,",2024-02-09T22:55:00.0000000Z,https://www.msn.com/en-in/news/India/mahe-bengaluru-invites-applications-for-diverse-ug-and-pg-programs-for-2024-2025-academic-year/ar-BB1i1ZQ0
19,"Digital Rights, Privacy and Security","This course is available on the LLM (extended part-time), LLM (full-time), MSc in Regulation ... a detrimental impact on established rights and values, such as autonomy, privacy and data protection. As a result, legal frameworks to regulate personal ...",2020-10-13T05:54:00.0000000Z,https://www.lse.ac.uk/resources/calendar2020-2021/courseGuides/LL/2020_LL4S4.htm
20,How ransomware attacks at Wichita hospitals threaten your privacy and health,"At the beginning of 2023, Wichita Urology announced that hackers had stolen the names, addresses, birthdates, Social Security ... attacks are common across many industries, they pose a particular danger in health care. Patients’ privacy and lives are ...",2024-01-26T00:00:00.0000000Z,https://news.yahoo.com/ransomware-attacks-wichita-hospitals-threaten-145854543.html
21,Cybercriminals creating AI chatbots to hack and scam users,"Two professors of cybersecurity weigh the benefits of artificial intelligence tools to their risks, and offer advice on how to avoid becoming a victim of AI-infused cyberattacks.",2024-02-11T12:20:00.0000000Z,https://mybroadband.co.za/news/security/524608-cybercriminals-creating-ai-chatbots-to-hack-and-scam-users.html
22,10 Best Zoom Settings For Security and Privacy,"Video-conferencing app Zoom wasn’t really this popular before COVID-19. Since most of the companies have allowed their employees to work from home, Zoom has become one of the most commonly used ...",2020-08-09T20:39:00.0000000Z,https://www.thewindowsclub.com/zoom-settings-for-security-and-privacy
23,"Security Bite: Use these iPhone privacy and security features in iOS 17.3, more","It also enacts a one-hour security delay ... or in a SIM hijacking attack, but once a code is used, it is generally considered useless. Apple’s new Photos privacy permissions are likely one ...",2024-02-04T17:58:00.0000000Z,https://9to5mac.com/2024/02/04/security-bite-use-these-iphone-privacy-and-security-features-in-ios-17-3-more/
24,‘This process is time-intensive’,“Capital Health endeavors to protect the privacy and security of personal information ... system in New Jersey hit by a cybersecurity attack in the previous year. Hackensack Meridan had two ...,2024-02-07T00:00:00.0000000Z,https://centraljersey.com/2024/02/07/social-security-numbers-could-be-exposed-due-to-cyberattack-on-capital-health/
25,MSc ACS: Computer Security,"These on-line activities, many conducted beyond national boundaries, have opened up enormous opportunities for security attacks such as identity thefts, computer hackings, privacy breaches, technical sabotages, etc. Addressing security threats and attacks ...",2024-01-12T00:00:00.0000000Z,https://www.manchester.ac.uk/study/masters/courses/list/08343/msc-acs-computer-security/all-content/
26,Dynatrace Launches AI Observability for Large Language Models and Generative AI,"Enables organisations to embrace AI with confidence by providing unparalleled insights into all layers of AI-powered applications, helping ensure security, reliability, performance, and cost-effectiveness Dynatrace (NYSE: DT),",2024-02-01T03:30:00.0000000Z,https://itwire.com/guest-articles/company-news/dynatrace-launches-ai-observability-for-large-language-models-and-generative-ai.html
27,Hashtag Trending Jan.31- Ransomware payments declining? ChatGPT leaking chat histories; UK law may ban Apple from issuing security updates worldwide,"Hey out there. Someone wrote me yesterday to tell me that they had tried to pass on how to subscribe, but it was difficult to find Hashtag Trending – apparently a lot of similar names. Changing the name of the podcast is a big deal,",2024-01-31T09:00:00.0000000Z,https://www.itworldcanada.com/article/hashtag-trending-jan-31-ransomware-payments-declining-chatgpt-leaking-chat-histories-uk-law-may-ban-apple-from-issuing-security-updates-worldwide/557733
28,How To Defend Against Malicious LLM Cyberattacks,"LLM AI platforms ... cyber-related attacks. Many such attacks originate from email phishing attempts. However, the attack propagation within the network falls under various security adaptive ...",2023-10-27T12:00:00.0000000Z,https://www.forbes.com/sites/forbestechcouncil/2023/10/27/how-to-defend-against-malicious-llm-cyberattacks/
29,Zetaris: Federated Data Lakes Could Make Sense of Enterprise Data ‘Mess’ to Power AI,"That also has some inherent security benefits. Because if you don’t move data ... and whether it’s appropriate from a privacy, governance and regulatory point of view and managing and governing that access. SEE: Australian organisations are struggling ...",2024-02-08T00:00:00.0000000Z,https://www.techrepublic.com/article/zetaris-vinay-samuel-interview/
30,Online Security and Privacy in Healthcare Certificate,"Healthcare organizations are also increasingly being targeted for cyber attacks. As a result, securing sensitive data is of growing importance. Healthcare security and privacy professionals protect health care information through these important tasks ...",2020-05-28T05:08:00.0000000Z,https://www.mtu.edu/globalcampus/degrees/certificates/privacy-healthcare/
31,MSc ACS: Computer Security,"These on-line activities, many conducted beyond national boundaries, have opened up enormous opportunities for security attacks such as identity thefts, computer hackings, privacy breaches, technical sabotages, etc. Addressing security threats and attacks ...",2023-11-04T02:55:00.0000000Z,https://www.manchester.ac.uk/study/masters/courses/list/08343/msc-acs-computer-security/
32,p0 uses LLMs to save enterprises from code catastrophes,"Agarwal explains that enterprises traditionally do security testing with a black box approach, which means external white hat hackers or security systems try to attack their systems ... right context and query for its LLM engine to respond to,” Agarwal ...",2024-01-30T06:47:00.0000000Z,https://www.yahoo.com/tech/p0-uses-llms-save-enterprises-114729648.html
33,Statement on Zoom Security and Privacy,We have been tracking reports and news coverage of privacy and security concerns with Zoom ... physically safe and not compromised with malicious software to mitigate this attack method. This concern has been highlighted by a report from the Washington ...,2020-04-19T02:50:00.0000000Z,https://www.scu.edu/technology/get-connected/zoom/statement-on-zoom-security-and-privacy/
34,"UK ‘too focused on safety’ in AI and LLM policy, says Lords","The UK government’s approach to AI and LLMs are too narrowly focused on safety and risk missing opportunities presented by the technologies, according to a report by the House of Lords Communications and Digital Committee.",2024-02-02T12:16:00.0000000Z,https://www.research-live.com/article/news/uk-too-focused-on-safety-in-ai-and-llm-policy-says-lords/id/5122203
35,Data privacy and security in AI-powered education systems,"However, despite these advancements, the education industry has experienced increased cybersecurity attacks ... Traditionally, student privacy and security have not been prominent in the realm ...",2024-01-14T16:30:00.0000000Z,https://www.financialexpress.com/jobs-career/education-data-privacy-and-security-in-ai-powered-education-systems-3363991/
36,Does the US want war with Iran? What happens next after strikes,President Biden has warned of consequences for the Iran-backed militant groups after the deadly drone strike in Jordan,2024-02-03T08:20:00.0000000Z,https://www.thetimes.co.uk/article/us-war-with-iran-strikes-iraq-syria-tsd5c2llm
37,Security and Privacy,"we face growing risk of malicious attacks that can steal our data and our money, spy on us through our devices, undermine our infrastructure, and even take over our cars and put us in physical danger. We seek methods for protecting security and privacy in ...",2023-11-10T06:30:00.0000000Z,https://www.rit.edu/computing/phd-computing-and-information-sciences/research/security-and-privacy
38,A Bird's Eye View Of Large Language Model Security,Model poisoning attacks aim to skew the model's behavior ... ensuring LLMs are employed in a manner that respects individual rights and data privacy. The future of LLM security is intrinsically linked to the dynamic evolution of both LLMs and the field ...,2024-02-07T12:45:00.0000000Z,https://www.forbes.com/sites/forbesbusinesscouncil/2024/02/07/a-birds-eye-view-of-large-language-model-security/
39,"AMD, Apple, Qualcomm GPUs leak AI data in LeftoverLocals attacks","Tracked as CVE-2023-4969, the security issue enables data recovery ... On an AMD Radeon RX 7900 XT powering the open-source LLM llama.cpp, an attacker can get as much as 181MB per query, which ...",2024-01-17T10:32:00.0000000Z,https://www.bleepingcomputer.com/news/security/amd-apple-qualcomm-gpus-leak-ai-data-in-leftoverlocals-attacks/
40,"Mitigating risks in digital transactions: Emphasising data privacy, security and cyber defence","Prioritising data privacy ... the latest security patches. Users must go for a trustworthy security solution, offering real-time protection against malware and phishing attacks.",2024-01-21T17:00:00.0000000Z,https://www.financialexpress.com/business/digital-transformation-mitigating-risks-in-digital-transactions-emphasising-data-privacy-security-and-cyber-defence-3370543/
41,Teens on social media need both protection and privacy – AI could help get the balance right,We have identified a set of steps that social media platforms could take to protect users while also protecting their privacy and autonomy online. Much of adolescent online safety research is from self-reported data such as surveys. There’s a need for ...,2024-01-31T00:00:00.0000000Z,https://www.chron.com/news/article/teens-on-social-media-need-both-protection-and-18639216.php
42,Erik Prince Claims His Vaporware Super-Phone Could Have Thwarted October 7 Hamas Attack,"On a recent episode of his podcast, Prince claimed that his special phone’s purported privacy safeguards could have prevented many of the casualties from Hamas’s October 7 attack. The ...",2024-01-24T14:11:00.0000000Z,https://theintercept.com/2024/01/24/erik-prince-phone-hamas/
43,"Top tech trends of 2024: AI, LLM, and the revolution in healthcare and cybersecurity","In the ever-evolving landscape of technology in 2024, Artificial Intelligence (AI) and Large Language Models (LLM) emerge as pivotal ... AI predicts potential security breaches, enabling proactive ...",2024-01-27T06:24:00.0000000Z,https://www.iol.co.za/business-report/companies/top-tech-trends-of-2024-ai-llm-and-the-revolution-in-healthcare-and-cybersecurity-b4939054-f55c-415b-8c75-d88785dbad5d
44,"Cyberattacks are having fatal consequences, so the White House wants hospital funding tied to hospital security",A number of attacks in recent months have severely ... Benedict Collins is a Staff Writer at TechRadar Pro covering privacy and security. Before settling into journalism he worked as a Livestream ...,2024-01-10T00:00:00.0000000Z,https://www.techradar.com/pro/cyberattacks-are-having-fatal-consequences-so-the-white-house-wants-hospital-funding-tied-to-hospital-security
45,Zoom boss apologises for security issues and promises fixes,"He admitted that despite ""working around the clock"" to support the influx of new users, the service had ""fallen short of the community's - and our own - privacy and security expectations"".",2020-04-02T00:00:00.0000000Z,https://www.bbc.com/news/technology-52133349
46,Online Security and Privacy,"Online Security and Privacy should be a concern for anyone using online services to store, process, or access their personal information. While there are many ...",2017-05-09T10:18:00.0000000Z,https://www.mtu.edu/it/security/security-resources-tools/online-security-privacy/
47,How to stop your wireless security camera from being hacked,"As well as enabling you to remotely keep an eye on your home, wireless security cameras should also ... However, the impact of a hacking attack can be devastating; from intrusion to your privacy to potential compromise of other connected devices you ...",2024-02-05T00:00:00.0000000Z,https://www.which.co.uk/reviews/wireless-security-cameras/article/how-to-stop-your-wireless-security-camera-from-being-hacked-a61gJ5O2LAur
48,"Through Wars, Tornadoes, and Cyberattacks, He’s a Guardian of Student Privacy","As a school district tech director who puts data privacy at the top of his priority ... brimmed [aluminum foil] sombrero,” he joked. Data security is paramount in the age of AI These days ...",2024-02-05T00:00:00.0000000Z,https://www.edweek.org/leaders/2024/through-wars-tornadoes-and-cyberattacks-hes-a-guardian-of-student-privacy
49,How audio-jacking using gen AI can distort live audio transactions,IBM’s Threat Intelligence team took LLM attack scenarios a ... devices and online services with weak security are going to be targets for audio jacking attack attempts. Be selective lock down ...,2024-02-02T06:00:00.0000000Z,https://venturebeat.com/security/how-audio-jacking-using-gen-ai-can-distort-live-audio-transactions/
50,"A Flaw in Millions of Apple, AMD, and Qualcomm GPUs Could Expose AI Data",The silicon industry has spent years refining the security of central ... the researchers demonstrate an attack where a target—shown on the left—asks the open source LLM Llama.cpp to provide ...,2024-01-16T12:00:00.0000000Z,https://www.wired.com/story/leftoverlocals-gpu-vulnerability-generative-ai/
51,Health Care Privacy and Security In 2024: Six Critical Topics to Watch,"As we reflect on the flurry of activity in the health care data privacy and security space in 2023 and ... OCR’s first-ever phishing cybersecurity attack investigation and settlement, resolving ...",2024-01-26T00:00:00.0000000Z,https://www.jdsupra.com/legalnews/health-care-privacy-and-security-in-8064263/
52,Ring home security system review: All the pros and cons,"Regulators have expressed concern over Ring's possible vulnerability to cybersecurity attacks ... security needs instead."" Several years ago, Ring found itself the center of scrutiny thanks to ...",2024-01-24T14:20:00.0000000Z,https://www.cbsnews.com/essentials/ring-security-system-pros-and-cons/
53,Top tips to prioritize AI security and unlock greater innovation,"As organizations continue to invest heavily in their rush to implement and experiment with AI, they should proceed with caution.",2024-01-31T22:07:00.0000000Z,https://www.securityinfowatch.com/cybersecurity/article/53095319/top-tips-to-prioritize-ai-security-and-unlock-greater-innovation
54,A new era of cybersecurity with AI: Predictions for 2024,More and more attacks ... build security in design – make sure we build secure models and prevent training data from being poisoned — but also continue evaluating and monitoring LLM systems ...,2024-01-24T00:00:00.0000000Z,https://www.cio.com/article/1298075/a-new-era-of-cybersecurity-with-ai-predictions-for-2024.html
55,Apple accuses UK gov't of ‘unprecedented overreach’ on privacy,"“We are deeply concerned about the amendments to the Investigatory Powers Bill currently before Parliament, which will put the privacy and security ... target to attack. Hackers are organized ...",2024-01-30T16:58:00.0000000Z,https://www.computerworld.com/article/3712720/apple-accuses-uk-govt-of-unprecedented-overreach-on-privacy.html
56,Police Arrest Teen Said to Be Linked to Hundreds of Swatting Attacks,"Swatting attacks typically involve someone calling ... and the director of the US Cybersecurity and Infrastructure Security Agency. According to the Florida State Attorney’s Office, the charges ...",2024-01-26T16:08:00.0000000Z,https://www.wired.com/story/torswats-swatting-arrest/
57,LulzSec Attacks FBI Affiliate InfraGard,"Aaron Titus, chief privacy officer for Identity Finder, echoed that the spate of recent attacks all exploited easily preventable security flaws. ’SQL injection, that’s Web 101. The fact that ...",2011-06-07T01:22:00.0000000Z,https://www.crn.com/news/security/230200026/lulzsec-attacks-fbi-affiliate-infragard
58,GrapheneOS: Everything you need to know about the privacy-focused Android fork,"GrapheneOS improves the privacy and security of the OS by mitigating classes ... To do so, the GrapheneOS implements attack surface reduction by removing unnecessary code from the OS.",2024-01-17T19:58:00.0000000Z,https://www.androidpolice.com/grapheneos-guide/
59,"What are LLMs, and how are they used in generative AI?","While many users marvel at the remarkable capabilities of LLM-based chatbots, governments and consumers cannot turn a blind eye to the potential privacy ... namely the security of data collected ...",2024-02-07T22:16:00.0000000Z,https://www.computerworld.com/article/3697649/what-are-large-language-models-and-how-are-they-used-in-generative-ai.html
60,Menlo Ventures’ vision for the future of security for AI,"Menlo Venture has gone all-in on the belief that governance, observability, and security are the foundations that security for AI needs in place to scale.",2024-02-06T21:00:00.0000000Z,https://venturebeat.com/security/menlo-ventures-vision-for-the-future-of-security-for-ai/
61,Carmakers fail to protect against security attacks,"The responses from 16 manufacturers ""reveal there is a clear lack of appropriate security measures to ... their part to protect us from cyber attacks or privacy invasions,"" Markey said in a ...",2015-02-09T04:34:00.0000000Z,https://www.zdnet.com/article/carmakers-fail-to-protect-against-security-attacks/
62,How Consumers Can Protect Themselves Against AI Voice Cloning Attacks,"a London-based company that helps organizations maximize online security and protect user privacy. Synthetic identity fraud creates an entirely new “person” by mixing stolen, fictitious or ...",2023-11-29T23:45:00.0000000Z,https://money.usnews.com/money/personal-finance/family-finance/articles/how-to-protect-against-ai-voice-cloning-attacks
63,Security experts just found two giant smartphone privacy issues,"Advertisements and notifications are a common part of the whole smartphone experience. But according to two new reports, they present troubling privacy issues.",2024-01-26T22:39:38.0000000Z,https://www.msn.com/en-us/money/other/security-experts-just-found-two-giant-smartphone-privacy-issues/ar-BB1hk7Xb
64,Mobile Security Firms Fortify Defenses as App Attacks Accelerate,"Better cybersecurity may soon come to a mobile app you use in time to defend against a rising wave of data breaches, malware assaults, and AI-powered bot attacks. Mobile app security firm Appdome ...",2024-02-05T16:00:00.0000000Z,https://www.technewsworld.com/story/mobile-security-firms-fortify-defenses-as-app-attacks-accelerate-179003.html
65,Protect AI adds LLM support with open source acquisition,"AI and ML security platform Protect AI has integrated a widely used, open source large language model (LLM) security tool — LLM Guard — into existing offerings after acquiring its developer ...",2024-02-01T00:00:00.0000000Z,https://www.csoonline.com/article/1303232/protect-ai-adds-llm-support-with-open-source-acquisition.html
66,"Chinese cyber attacks are intended to 'induce societal panic' across America, security directors tell Congress","Jen Easterly, director of the Cybersecurity and Infrastructure Security Agency, told the House Select Committee on the Chinese Communist Party (CCP) that ransomware attacks on U.S. businesses or ...",2024-01-31T17:58:00.0000000Z,https://www.foxnews.com/politics/chinese-cyber-attacks-intended-induce-societal-panic-across-america-security-directors-tell-congress.amp
67,IT security strategy: Assessing the risks of generative AI,Most industry watchers see 2024 as the year when generative AI (GenAI) and large language models (LLMs) will begin moving into enterprise IT.,2024-02-05T04:04:00.0000000Z,https://www.computerweekly.com/feature/IT-security-strategy-Assessing-the-risks-of-generative-AI
68,"Chinese cyber attacks are intended to 'induce societal panic' across America, security directors tell Congress","China’s strategic plan to infiltrate the U.S. cyber infrastructure includes attempts to induce panic and unsettle everyday American life, a witness testified to Congress on Wednesday. Jen ...",2024-01-31T17:58:00.0000000Z,https://www.foxnews.com/politics/chinese-cyber-attacks-intended-induce-societal-panic-across-america-security-directors-tell-congress
69,Cisco brings AI assistant to cloud app security service,"and ‘Help me understand this attack path and how to fix it ... In addition to the AI Assistant, Outshift has added an LLM security and protection suite to Panoptica. Called GenAI Protection ...",2024-02-08T00:00:00.0000000Z,https://www.networkworld.com/article/1306628/cisco-brings-ai-assistant-to-cloud-app-security-service.html
70,"Researchers Map AI Threat Landscape, Risks","Many of the security problems of large language models ... A Taxonomy and Terminology of Attacks and Mitigations,"" which focuses on creating a common language for discussing threats to AI.",2024-01-24T00:00:00.0000000Z,https://www.darkreading.com/cyber-risk/researchers-map-ai-threat-landscape-risks
71,Windows 10: How To Fix The Biggest Security And Privacy Flops,"Windows 10 is in the security and privacy hot seat just weeks after its initial splashy launch. This is no surprise here, considering every single Microsoft operating system that has come before ...",2023-04-17T05:25:00.0000000Z,https://www.crn.com/slide-shows/security/300077791/windows-10-how-to-fix-the-biggest-security-and-privacy-flops
72,Carnegie Mellon University experienced a security breach — a reminder that cyber attacks are not rare,"Even an institution that prides itself on being ground zero for cybersecurity innovation isn’t immune to cyber attacks. This week — coincidentally, Data Privacy ...",2024-01-26T06:00:00.0000000Z,https://technical.ly/software-development/cmu-cybersecurity-attack-advice-university-pittsburgh/
73,Personal Monitors,The imminent clamp down on national and domestic security in ... to the terrorist attack in the US. Dr Roger Clarke - Information about electronic surveillance and privacy.,2023-02-21T12:21:00.0000000Z,https://www.abc.net.au/science/slab/security/default.htm
74,"Focus on Data Resiliency, Security, Privacy, & Disaster Preparedness","Healthcare entities face an increasing number of threats to health data security and privacy, both natural and human-made. From hurricanes and tornadoes to cyber-attacks and server ...",2022-04-14T22:33:00.0000000Z,https://www.healthitsecurity.com/hubs/focus-on-disaster-preparedness
75,Corporate Privacy & Security Policy Examples,Corporate businesses have an obligation to protect the privacy of all employees and ensure their personal security on the job ... or they may launch cyber attacks solely intended to disrupt ...,2018-07-20T19:13:00.0000000Z,https://smallbusiness.chron.com/corporate-privacy-security-policy-examples-15383.html
76,Recognizing Security as a Strategic Component of Business,"Security may not own this area of focus, but it is a key stakeholder. Events ranging from social unrest to a cybersecurity attack can impact ... compliance, data privacy regulation, enterprise ...",2024-01-31T00:00:00.0000000Z,https://www.darkreading.com/cyberattacks-data-breaches/recognizing-security-as-strategic-component-business
77,Top 4 LLM threats to the enterprise,"traditional security tools are ill-equipped to detect such attacks. Tools are also catching up with new risks introduced through LLM’s. For example, natural language web firewalls, AI discovery ...",2024-01-22T00:00:00.0000000Z,https://www.csoonline.com/article/1294996/top-4-llm-threats-to-the-enterprise.html
78,Security in vehicular systems,This in turn increases the attack ... security credentials shall be ensured. Some applications might additionally require that part of the traffic they receive or send internally or externally should remain confidential. Another challenge is to ensure ...,2024-01-08T00:00:00.0000000Z,https://www.design-reuse.com/articles/37957/security-in-vehicular-systems.html
79,The EU Rules Risk Smartphone Security,The European Union's Digital Markets Act will inadvertently compromise established smartphone security systems in attempts to foster digital openness.,2024-02-08T18:47:00.0000000Z,https://www.aei.org/technology-science-and-energy/the-eu-rules-risk-smartphone-security/
80,Preparing for cyber-attacks: the intersection of cybersecurity and physical security,"One thing that stands out is how intelligence (and the swath of subsets) will impose stringent demands on physical security due to attribute and data collection (for analysis) which will absolutely require privacy compliance, integrity, and controls.",2018-12-17T09:35:00.0000000Z,https://www.sourcesecurity.com/insights/preparing-cyber-attacks-intersection-cybersecurity-physical-co-1544546796-ga.1544546887.html
81,Security and Surveillance,"The 9/11 attacks propelled intelligence reform to center stage in ... both policy-makers and in the public about how best to strike the balance between national security and civil liberties, this project seeks to provide analysis, and recommendations ...",2022-04-20T06:50:00.0000000Z,https://www.csis.org/programs/strategic-technologies-program/archives/intelligence-surveillance-and-privacy/security-and
